ID,Days,Name,AcIn,DA,EA,EO,DA_order,SatWeekDay,SunWeekDay,Sent,groupType
1,,OTHER,TRUE,TRUE,FALSE,FALSE,11,FALSE,FALSE,TRUE,5
2,0,SAME DAY,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,1
6,3,THIRD DAY,TRUE,TRUE,FALSE,FALSE,5,FALSE,FALSE,TRUE,4
7,5,ECONOMY (3-5 DAYS),FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
8,1,EXPRESS (Next Day),FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,2
9,2,STANDARD (2 DAYS),FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
10,1,SPECIAL,TRUE,FALSE,TRUE,TRUE,12,FALSE,FALSE,TRUE,11
11,1,OVERNIGHT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
12,5,WHITE GLV Signature+,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
13,,PREMIUM,TRUE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
14,,STANDARD,TRUE,FALSE,TRUE,TRUE,12,FALSE,FALSE,TRUE,5
15,,ECONOMY,TRUE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
16,,LTL,TRUE,TRUE,FALSE,FALSE,11,FALSE,FALSE,TRUE,6
17,0,NFO,TRUE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,1
18,,OTC,FALSE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,11
19,1,NEXT DAY,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,2
20,2,SECOND DAY,TRUE,TRUE,FALSE,FALSE,4,FALSE,FALSE,TRUE,3
21,5,DEFERRED 3-5 DAY,TRUE,TRUE,FALSE,FALSE,6,FALSE,FALSE,TRUE,5
22,,TRUCK LOAD (FTL),TRUE,TRUE,FALSE,FALSE,7,FALSE,FALSE,TRUE,7
23,,CROSS DOCK,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,8
24,,LOCAL,TRUE,TRUE,FALSE,FALSE,8,FALSE,FALSE,TRUE,18
25,,STORAGE / WAREHOUSE,TRUE,TRUE,TRUE,TRUE,12,FALSE,FALSE,TRUE,8
26,,AIR CHARTER,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,17
27,,AIR EXPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
28,,AIR IMPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,13
29,,EXPRESS/COURIER,FALSE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
30,,ONBOARD COURIER,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
31,,FCL EXPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,14
32,,FCL IMPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,15
33,,LCL EXPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,14
34,,LCL IMPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,15
35,,BULK IMPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,15
36,,BULK EXPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,14
37,,VESSEL CHARTER,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
38,4,FOUR DAY,TRUE,TRUE,FALSE,FALSE,11,FALSE,FALSE,TRUE,19
39,,DOMESTIC OCEAN,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
40,,COMAT,TRUE,TRUE,TRUE,TRUE,51,FALSE,FALSE,TRUE,5
41,,HOT SHOT/EXCLUSIVE,TRUE,TRUE,FALSE,FALSE,11,FALSE,FALSE,TRUE,10
42,1,NEXT DAY SATURDAY,FALSE,FALSE,FALSE,FALSE,99,TRUE,FALSE,TRUE,2
43,5,HOME-PROPERTY DEL,FALSE,TRUE,FALSE,FALSE,14,FALSE,FALSE,TRUE,9
44,5,THRESHOLD,TRUE,TRUE,FALSE,FALSE,15,FALSE,FALSE,TRUE,9
45,5,HOME-PLACEMENT DEL,FALSE,TRUE,FALSE,FALSE,16,FALSE,FALSE,TRUE,9
46,5,HOME-SETUP DEL,FALSE,FALSE,FALSE,FALSE,17,FALSE,FALSE,TRUE,9
47,,EXPRESS LETTER,FALSE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
48,,EXPRESS PACKAGE,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
49,,FCL EXP COMPANY B/L,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,14
50,,FCL IMP COMPANY B/L,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,15
51,,FTL EXPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
52,,FTL IMPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,13
53,,LTL EXPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,6
54,,LTL IMPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,6
55,,STANDARD LETTER,TRUE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
56,,STANDARD PACKAGE,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
57,,XINTERNATIONAL-AIR,TRUE,FALSE,TRUE,FALSE,53,FALSE,FALSE,TRUE,12
58,,XINTERNATION-OCEAN,TRUE,FALSE,FALSE,TRUE,53,FALSE,FALSE,TRUE,14
59,5,XPHARM-DEF 3-5 PR,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
60,1,XPHARM-NEXT DAY PR,FALSE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,2
61,2,XPHARM-SECOND DAY PR,FALSE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,3
62,,XPHARM-STANDARD PR,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,TRUE,0
63,2,XPUERTO RICO-2 DAYS,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
64,3,XPUERTO RICO-3 DAYS,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
65,4,XPUERTO RICO-4 DAYS,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
66,5,XPUERTO RICO-5 DAYS,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
67,0,XPUERTO RICO-NFO,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
68,1,XPUERTO RICO-OVN,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
69,2,XAIR FREIGHT-2 DAYS,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,3
70,3,XAIR FREIGHT-3 DAYS,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,4
71,4,XAIR FREIGHT-4 DAYS,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
72,5,XAIR FREIGHT-5 DAYS,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
73,,XAIR FREIGHT-DISPSL,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,8
74,,XAIR FREIGHT-NFO,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,1
75,1,XAIR FREIGHT-OVN,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,2
76,,XAIR FREIGHT-STORAGE,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,8
77,2,"XAK, HI-2 DAYS",FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,3
78,3,"XAK, HI-3 DAYS",FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,4
79,4,"XAK, HI-4 DAYS",FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
80,5,"XAK, HI-5 DAYS",FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
81,1,"XAK,HI-OVERNIGHT",FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,2
82,,"XALASKA, HAWAII-NFO",FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,1
83,2,XPHARM-2ND DAY AKHI,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,3
84,3,XPHARM-3 DAY DEL,FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,4
85,5,XPHARM-DEF 3-5 AKHI,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
86,5,XPHARM-DEF 3-5 DAYS,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
87,1,XPHARM-NEXT DAY,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,2
88,1,XPHARM-NEXT DAY AKHI,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,2
